[General]
A Dildo|Um vibrador
eea8f79a-1c55-4a01-b43d-7c0b43c04a84|Ah, não, deixei a cabeça do Patrick no fogão por muito tempo! Ele está prestes a explodir!
eec8a32d-11ff-4fd0-a05e-4105aa44bd99|A cada ataque, você usará um pouco da sua energia, conforme indicado no canto inferior esquerdo da tela. Se a sua energia estiver muito baixa, você não poderá usar certos movimentos (se os tiver desbloqueado) ou mesmo atacar! A energia se regenerará sozinha. Correr no modo de combate sempre reduzirá sua regeneração de energia pela metade.
eecffbd4-be52-4699-98ba-fc77a761fae4|Ah, covarde. Covarde de... Espera, acho que entendi a analogia errado.
ef0bc0e8-05a4-4488-b352-b790967045e2|Dizem que a Katherine está sempre com o telefone na mão. Dizem também que ela é um gênio. E também que ela pode ser uma vadia sem coração. É uma merda tirar sarro de alguém que não te ouve.
ef145427-aa4f-47a5-b9ae-9918fbc2c9a2|Pronto. Amassei a barra de chocolate e coloquei no copo. Está feliz agora? Agora vai voltar para o meu bolso...
ef886308-b568-407b-9a91-39e04205cc15|Ele não está atendendo... que grosseria.
Empty Vodka Bottle|Garrafa de vodka vazia
f0445ae1-6686-4f78-b143-35f8bfc00773|Cara! Cuidado!
f04960f6-1c30-4cce-b2fe-4af95a469609|Esta espada era um brinquedo para bebês japoneses. Já foi usada muitas vezes desde então.
f05d4619-d2f2-45c0-97ad-c7406f81ec12|O micro-ondas parece quebrado. Será que alguém aqui é inteligente o suficiente para consertá-lo?
f064d280-5db2-48f8-8213-ee6f44cfea62|AAAHHH AÇÚCAR AÇÚCAR ME DÁ MAIS UM POUCO DE AÇÚCAR-uau *Ahem* Cara, isso foi muito bom. Eu poderia canalizar um pouco dessa energia para os meus punhos agora, se precisar...
f0e5e72d-b8b0-4aef-a8cc-ce6926ab1c1c|Ah, parece que a água foi desligada.
f1081a86-d353-4e9b-8b92-84328ac53e9f|Há uma pequena etiqueta com 4 configurações: "baixo", "médio"; "alto"... "apocalipse clitoridiano". Esta última configuração tem uma ressalva adicional: "pode despertar os mortos... útil em quartos e além!"
f13cd59f-0dae-4ee9-add7-63d83e1ad982|Os olhos do pinguim estão brilhando com mil luzes, e você parece incapaz de se livrar delas. Parece que ele vai ficar parado ali, observando...
f15b0dc4-827e-4f82-8ac1-ef8491da528d|Parece um mosquiteiro elétrico clássico, mas é um pouco velho. Tem alguns furos na estrutura, todos do tamanho de um dedo, ou... sim, um dedo.
f1685899-ced3-4ed0-8ca1-a194d211eef4|É como um quebra-cabeça que precisa ser resolvido e, quando você encontrar a solução, ficará inundado de satisfação. Então, vista-o. Você só vai conseguir agindo: decifre isso ou morra lutando.
f1cbd0a9-7533-4c78-bdb6-32fd75364e53|Aparentemente, a Brittney está com calor!
f23b502c-9f71-4e60-a13f-3692cd3d4eb4|Madison leva o dedo aos lábios para pedir silêncio, mas parece que não consegue te olhar nos olhos...
f26c804e-7d9f-4494-8bf8-b9395147f465|Você fez algo errado. Você está nu agora! No lado direito da tela, você verá novos indicadores de interface. O inferior é a barra de orgasmo. Ela se enche conforme o seu... prazer aumenta e, em seguida, recarrega com o tempo, quando você termina o prazer mencionado. Observe que você pode realizar atos sexuais enquanto esta barra estiver recarregada. Você pode pressionar o botão 1 (padrão) para se masturbar depois de tirar a roupa. Talvez seja melhor ter cuidado onde e quando você faz isso. "Talvez."
f2cfc540-46d5-49e7-a3e8-beabaaad873d|Pfff. Mac de merda. Compre um PC.
f31b8b1f-e975-4b3a-96d2-0d51935ef6c9|Patrick parece estranhamente focado em seu objetivo de ajudar Liz Katz. Melhor deixá-lo em paz.
f3561f0e-0e93-403c-b6fa-f426853b153f|Ok, faça isso com elegância no meio das chamas...
f3bb5a84-4fba-48df-8586-a07e0c81026e|Parece que as roupas ainda estão secando. Devo voltar mais tarde.
f42017e8-3015-40e7-9fd5-498fcb9bc263|Parece que entrou em curto-circuito. Que lixo inútil!
f44f7747-0965-4cbc-8725-acdd1992cdd4|Acho melhor esperar alguns minutos antes de fazer palhaçadas.
f4809b94-339c-4187-88e2-cafae216d1e7|A saída de ar abriu.
f4ee09c1-cb55-40ab-af85-bd1f4ae3e1be|Cremoso e encorpado! Muito melhor que o Crestle, e nem precisei fazer nada desonesto para consegui-lo! Que escolha inteligente e moralmente correta eu fiz. Pronto.
f52dc13c-31e1-4eb8-8845-b03494eba822|Ele vai para o quarto? Hmm... Por quê será?
f54da11a-f7ed-4302-b130-18f7bc008a1c|Quem ainda usa fósforos?
f5acec4a-1a16-4025-ba63-d9fa0849195e|Não me sinto diferente... Hmm...
f5b27352-40e1-45d7-a7a2-8ead41bc85de|Agora só preciso de algo para incendiar esta magnífica exibição de produção de alta qualidade.
f67549db-23fd-4ea2-bce0-c47317864c72|Que estranho atletismo da minha parte. Quem me dera ter a mão esquerda. ...Acho que o vibrador meio que... sumiu. Para sempre. Espero não precisar dele... espera, quem já "precisou" de um vibrador? Ah, espera. Me sinto um pouco mais forte agora. Nada mal.
f6a84544-daca-45b6-ae2b-cf63ca0e200f|Ele está quase gozando, estou quase lá!
f70b3d78-779a-4f8c-a8f7-728bc39dfa7d|A vassoura está encostada no ar-condicionado como um bêbado em uma festa.
f79d91dc-e514-4163-aab0-4365c21c97b3|Espero que não seja uma lasanha que descongelou acidentalmente no congelador, vazando um molho vermelho delicioso, mas a porta do congelador está emperrada. Deve haver um jeito de abri-la.
f7ab55b1-cd89-4942-9a66-e8b2a33b6e57|O baú misterioso da Liz tem uma fechadura de má qualidade. E eu tenho a chave! Bom trabalho, eu.
f7feafc0-c003-4623-9b22-f17e4ad7ab68|Brittney exibiu toda a sua glória... uma verdadeira beldade sulista!
f82af07d-1c96-4840-a323-8b1babab35f9|Se um personagem te atingir, você sofrerá dano e poderá ficar atordoado, permitindo que o oponente te acerte novamente. Muitos personagens podem bloquear seus ataques, reduzindo o dano que você causa. Dependendo do personagem, o nível de perigo ao enfrentá-los varia e, dependendo da sua habilidade, suas estatísticas e movimentos desbloqueados podem ser imbatíveis. Você pode aumentar suas estatísticas de combate completando certas ações e desbloquear movimentos completando certos conteúdos. Boa sorte!
f83a5cb2-e02a-4b9d-af40-7a8b4618f4c1|Estou quase lá! Meu amigo! ...Ah! Sim!
f8408225-f2eb-4e8f-b9fa-08d9e49d28a8|Eu estava... relaxando em um banheiro fechado. É pior do que usar óculos escuros dentro de casa ou Crocs com meias.
f882719d-9fa1-4201-a5be-7fec02231ad1|Ah, é verdade, acho que essa coisa precisa ficar perto do Grumps para fazer o trabalho. *suspira* ...É melhor eu chegar mais perto.
f9191b24-ea71-4458-b2e5-c0cd65c69079|Se o Grumps e o Sr. Demência Artificial não estiverem juntos, é inútil. Talvez devessem segurar pela alça... Não faço ideia do que essa mala falante é capaz de fazer.
f9265d84-1ecc-47da-9e21-854a10b9f319|Melhor evitar. A Stephanie ficaria furiosa.
f95b12c4-5dc1-4fc6-9aa3-2ffd382f526e|Estou com a chave. Vou ser sincero... não. Parece que o teclado numérico é a única maneira de abrir.
f9cc000a-c16e-4f70-8ae5-ea1b8b108ffd|AAAHHH AÇÚCAR AÇÚCAR ME DÁ MAIS AÇÚCAR-uau *Ahem* Cara, isso foi muito bom. Eu poderia canalizar um pouco dessa energia para os meus punhos agora mesmo, se precisar...
fa088791-a080-4d07-bfda-e5077bee4192|É um botão perfeitamente comum saindo do chão ao lado do mirante. Provavelmente controla as luzes ou algo assim. Por que você está tão interessado neste botão? Pare de ser antissocial e converse com os outros.
fa42d1a1-05fa-424f-9716-69477bd59e2b|Vai lá! Direto para a sua boca! Você acabou de consumir este item. Dependendo do que for, pode ter sumido para sempre, o que significa que você pode não conseguir terminar o conteúdo para o qual precisa dele. Ou... você teve que engoli-lo para terminar uma oportunidade. Só o tempo dirá!
fab6e527-19a1-4ab7-b682-96e328f1fbd6|É melhor eu soltar as mãos... E mais uma coisa, antes de entrar.
fb00bd60-f268-4d54-accb-4b6612dadedc|É uma sacola velha de fast food que cheira a hambúrguer e auto-ódio. Eu conheço essas sacolas.
fb1edaef-b396-4148-83c1-0e7105d87eb2|Madison faz sinal para você segui-la...
fb8b6d52-6250-4fab-8d44-8bde3aaa9146|Madison parece irritada, mas faz sinal para você entrar no escritório...
fba4886e-e59f-4b48-803f-f9c5562fce8b|Aí está. Válvula fechada! Eu deveria avisar Madison que ela pode guardar o maiô.
fbecb0c8-fd5a-405a-a2b8-27dd8c310d3c|Isso deve ser suficiente! Derek vai sair correndo da sala assim que ouvir. Mas o gravador não pode estar muito longe, nem muito perto, e tem que estar em algum lugar onde eu possa capturá-lo...
fbf16e3b-cb34-40b9-958f-a27c884e81dd|Interromper Lety e Mad agora seria muito rude. Vou esperar um minuto.
fc18c8db-e011-4f39-a9c4-c52931e258a5|Madison não quer falar agora.
fc8a5f16-7e7a-49e2-82f7-1c463ab6bc89|Estou quase lá... Não consigo... ah, merda!
fd8635c9-bbe0-4841-a5c6-02fe4d5897c8|O micro-ondas parece quebrado. Preciso encontrar outro jeito...
fda02c1c-e575-49b0-b44f-de70f63c4c37|Isso deve dar a ele um pouco de energia e vitalidade.
fddca91d-2200-4988-a7ca-7aa165f08e66|Parece que as roupas ainda estão secando. Melhor voltar mais tarde...
fde1ecd5-7422-41a5-9e23-d4a2b9269718|A chave do baú da Liz Katz.
fdfc59a3-9604-4c83-9228-93c53b26e437|D-D-D-D-Doja Cat!
fe646e78-115f-4823-87a0-5fa87675de21|Ah sim, a boa e velha lareira. Se eu adicionar algo explosivo aí, o transe profundo do Derek com certeza vai ser quebrado!
fe7b1298-3606-43fe-9ebd-a13677c953a3|Parece que você andou dando água demais para a Liz, e agora ela está em uma missão pessoal. Com o tentáculo. E sem você.
fe9140f0-1b82-4831-8f34-26e1e930e7b3|Uau, parece que você encontrou um uso para aquele chapéu de cowboy em miniatura, afinal! ...Espera aí, chapéu? O quê?!
fe993d50-624d-4333-9e1b-fbfe7242d89a|Sua foda aumenta um pouco sua resistência de combate!
fedc6d3c-1fdf-4dd9-acba-1a260f231109|Estou quase lá... Não consigo... ah, droga!

[Achievements]
fe33a06d-f827-4280-9770-89bd5b738462Description|Dê a Patrick o coquetel mortal de Rachael e faça o necessário para derrubar o site dele!
fe33a06d-f827-4280-9770-89bd5b738462|Judas
fce8bf01-bb16-4ca1-a6f0-1f8cef359c0aDescription|Examine pelo menos 30 objetos em uma única partida.
fce8bf01-bb16-4ca1-a6f0-1f8cef359c0a|Inspetor-chefe
fc36eac1-5289-46cb-9c65-874819ee60a9Description|Use sua habilidade de persuasão em Madison para desbloquear a lendária habilidade especial do guaxinim dos lixos.
fc36eac1-5289-46cb-9c65-874819ee60a9|Encantador: Madison
f664fefa-f114-4475-931c-32f69931366bDescription|Complete a oportunidade "Vida La Lety".
f664fefa-f114-4475-931c-32f69931366b|Te amo, Lety
f603275c-3a21-43aa-8d6d-5a437627b8b9Description|Interrompa a conversa entre Leah e Lety com um rojão à distância.
f603275c-3a21-43aa-8d6d-5a437627b8b9|Geometria simples
f4dbef3d-ddfb-4182-b9ed-e1de3d91b317Description|Faça com que Frank entre para o P-Club.
f4dbef3d-ddfb-4182-b9ed-e1de3d91b317|Certificado P-Club
f2a2bba6-16d6-4dd9-a9c3-cde9c070eb04Description|Conclua a caça ao tesouro da Amy.
f2a2bba6-16d6-4dd9-a9c3-cde9c070eb04|Amy: caça ao tesouro
ed737422-8704-4067-894a-8a6b75196616Description|Viva um momento marcante com quatro garotas diferentes em uma única partida.
ed737422-8704-4067-894a-8a6b75196616|Casanova
ecbc0734-463e-409d-a82b-e257f701ff8bDescription|Jogue um vibrador nele. Claro. Precisamos explicar tudo?
ecbc0734-463e-409d-a82b-e257f701ff8b|Se não funcionar na primeira vez...
eb8676e9-c6d1-493a-bf03-69bd598fc141Description|Investigue a fundo a situação entre Patrick e Rachael, e ajude Pat a conquistar Rachael!
eb8676e9-c6d1-493a-bf03-69bd598fc141|Uma semelhança incrível
eb0def8b-8821-4bb5-baf3-99756eb9f8ccDescription|Ajude Brittney a descobrir quem realmente a faria feliz. Depois, seja seu braço direito, ajudando-a a transar!
eb0def8b-8821-4bb5-baf3-99756eb9f8cc|A paixão
e7aa5dad-2694-451f-8baa-73bc4f48e253Description|Fora da oportunidade "Derek detona!", faça com que Patrick seja espancado 5 vezes em uma única partida.
e7aa5dad-2694-451f-8baa-73bc4f48e253|Implacável
e25401f1-eea9-426f-a382-551ce68adac2Description|Guie Derek pelo caminho certo e, em vez de se vingar de Madison, faça a escolha mais sensata.
e25401f1-eea9-426f-a382-551ce68adac2|Pegadinha cancelada
e0267d72-cbe7-4992-9ed5-18ae4a9cb3ebDescription|Fracasse no DLC da Doja Cat antes mesmo de ela entrar na festa.
e0267d72-cbe7-4992-9ed5-18ae4a9cb3eb|Parabéns, uma celebridade te odeia
db7befb8-c2cf-4e11-8ae9-32cc55d91fcdDescription|Complete a história de Rachael e conquiste seu afeto.
db7befb8-c2cf-4e11-8ae9-32cc55d91fcd|Rachael
d6e24769-f732-406f-ac54-f94be0cf4442Description|Antes de se perguntar se podia perder tempo com isso, talvez devesse ter se perguntado se devia.
d6e24769-f732-406f-ac54-f94be0cf4442|A vida encontrou um caminho.
d4ed0b21-e1a9-4954-bd82-2aab4a540474Description|Em uma única partida: acerte Frank, Derek e Patrick enquanto não estão em modo de combate e não estão te olhando.
d4ed0b21-e1a9-4954-bd82-2aab4a540474|Golpe Baixo
d3173f7a-b92a-4d58-8588-549bcb136ec2Description|Ajude Derek a se vingar de Madison por tê-lo submetido a todos os seus jogos mentais.
d3173f7a-b92a-4d58-8588-549bcb136ec2|A travessura evitada
ce7f28ec-002e-4598-8640-a666c9245cbdDescription|Faça Doja Cat cair na piscina acidentalmente.
ce7f28ec-002e-4598-8640-a666c9245cbd|Banho da meia-noite
ce5625cd-a418-4e27-81d0-672cbdcca29bDescription|Pela primeira vez, faça amor e não guerra com Frank.
ce5625cd-a418-4e27-81d0-672cbdcca29b|Contra todas as expectativas
cb1fd76c-14a5-40e7-9ce8-c2fdf842e9a4Description|Complete a história principal de Katherine e ajude-a a se vingar do namorado.
cb1fd76c-14a5-40e7-9ce8-c2fdf842e9a4|Katherine
c841bd37-2697-46ad-addd-9696e735ef19Description|Complete "que lembranças..." e convença Derek de que você leva o passado de vocês tão a sério quanto ele.
c841bd37-2697-46ad-addd-9696e735ef19|Os bons e velhos tempos
c2d55a66-7e8f-49d2-8840-1d7ad99a8a3fDescription|Conserte um cano com vazamento e uma relação entre irmãs. Pena que só um dos dois vai durar...
c2d55a66-7e8f-49d2-8840-1d7ad99a8a3f|O encanador improvisado
c0c7c1cf-b8f8-46a3-8fb0-8d02ebfe9479Description|Sério? Você não conseguiu entender nem com a dica? A culpa é sua ou nossa?
c0c7c1cf-b8f8-46a3-8fb0-8d02ebfe9479|Conquista do jogador mais burro
bf958a74-c1b5-4ba8-88f8-bad39f083763Description|Ajude Leah a eliminar rapidamente a cobra e receba sua recompensa...
bf958a74-c1b5-4ba8-88f8-bad39f083763|A Noiva
bc31642e-7dd1-4a6a-8584-9928728f0bb3Description|Ouça educadamente toda a épica história de Patrick.
bc31642e-7dd1-4a6a-8584-9928728f0bb3|A Bro-disséia
b42f9b6d-ebac-461b-aa0e-30e1bbbd3fc5Description|Convença Leah a abandonar o caminho da honra... e sobreviva!
b42f9b6d-ebac-461b-aa0e-30e1bbbd3fc5|Ronin
b21d462f-ca77-43d4-9d07-7390ca0c85c5Description|Ouça o relaxante som da natureza, diretamente de Doja Cat.
b21d462f-ca77-43d4-9d07-7390ca0c85c5|Cheira a rosas
af7b3d77-8351-4751-b3a0-4d158cbdbd67Description|Veja os Game Grumps causarem cenas 8 vezes em uma única partida. Não se esqueça de se inscrever, curtir, comentar...
af7b3d77-8351-4751-b3a0-4d158cbdbd67|Gameplay ao vivo
adadf5f3-a960-4fef-83b5-71b8c007f845Description|Complete a oportunidade de "uma noite de depravação" de Vickie com ela e outro parceiro.
adadf5f3-a960-4fef-83b5-71b8c007f845|O número mágico
ac1b33fb-2052-4596-b5fc-15e547bcf674Description|Salve Liz Katz da uma secadora mortal da forma mais romântica possível.
ac1b33fb-2052-4596-b5fc-15e547bcf674|Pare, meio-irmão
aadc3551-05e9-4d89-813a-538e07f6ea12Description|Conquiste o afeto de Ashley com suas habilidades de oratória sem completar a história principal dela.
aadc3551-05e9-4d89-813a-538e07f6ea12|Encantador: Ashley
a6a4ef15-9866-44ea-8b06-74c5deb66a8aDescription|Realize a fantasia de todo jogador de WoW e faça Liz Katz vestir uma fantasia de elfa.
a6a4ef15-9866-44ea-8b06-74c5deb66a8a|Dance por moedas de ouro
a65b95c0-e55a-48b8-9dee-4df1cfdca7fbDescription|Resolva o mistério de Purgalicious e mostre as provas a Derek.
a65b95c0-e55a-48b8-9dee-4df1cfdca7fb|Fúria Piromaníaca
a17202e7-d903-4ccd-af43-49fa353a9c5bDescription|Desbloqueie o modo bro no Compubro.
a17202e7-d903-4ccd-af43-49fa353a9c5b|O código secreto
a0f37f7e-f8b6-4e52-8936-6321ff0f2955Description|Dê umas cervejinhas para Madison e veja o que acontece quando ela imita o personagem do reality show favorito dela.
a0f37f7e-f8b6-4e52-8936-6321ff0f2955|Bêbada e Caótica: Madison
a0efba86-e25a-4341-acd9-ebe0ba7512aaDescription|Entre para a lista negra de todos os convidados do sexo oposto (os personagens que você convida não são necessários).
a0efba86-e25a-4341-acd9-ebe0ba7512aa|Banho de água fria
9bde8faa-edf1-49f2-b7fe-cf413fa5b954Description|Reacenda a chama da rivalidade de Brittney dando a ela um presente bem cafona.
9bde8faa-edf1-49f2-b7fe-cf413fa5b954|A Coochadora
99c1d2c9-8b73-4079-b151-97a8c9995a62Description|Tire a roupa na porta e apareça nu diante de todos os convidados (Vickie não é necessária).
99c1d2c9-8b73-4079-b151-97a8c9995a62|Primeiras impressões
8c9a3295-3f9f-4247-88a2-63eea32fe140Description|Viva um momento mágico, não violento e artístico com Frank.
8c9a3295-3f9f-4247-88a2-63eea32fe140|E aí, bonitão?
87fadd24-2306-48cf-84c4-0faf9be3687bDescription|Destrua a autoestima de Frank e suas crenças sobre masculinidade até ele não aguentar mais. Adeus, bonitão!
87fadd24-2306-48cf-84c4-0faf9be3687b|Que alívio!
87bf06b6-21b4-409c-af26-c58dfcb1cb02Description|Recuse álcool e drogas e ajude Stephanie a descobrir sua vocação.
87bf06b6-21b4-409c-af26-c58dfcb1cb02|Stephanie
852678fc-c0c5-4887-aad7-67157896a4e1Description|Ajude os Game Grumps a irem embora usando a magia da realidade virtual!
852678fc-c0c5-4887-aad7-67157896a4e1|Conheço o Grump-Fu
8175f950-9160-4004-a9ef-d8d94c9d23daDescription|Viva uma vida melhor graças à indústria farmacêutica e perca três quilos ao mesmo tempo! Obrigado, Laxapas!
8175f950-9160-4004-a9ef-d8d94c9d23da|Sabores da festa
808c3f0d-ccf8-44be-b47a-753f5ced80e4Description|Ajude sua amiga Brittney atendendo ao pedido dela de trazer uma troca de roupa.
808c3f0d-ccf8-44be-b47a-753f5ced80e4|Uma amiga em apuros...
7ce05f10-601f-40b9-8cc3-d036d5c004d8Description|Ajude Brittney a entender o que realmente pode fazê-la feliz. Depois, veja se ela está disposta a compartilhar um pouco desse prazer com você.
7ce05f10-601f-40b9-8cc3-d036d5c004d8|As paixões
7cba661d-a99b-403a-b89d-829237803519Description|Cause um trauma craniano em Frank e aproveite a situação para pegar algumas bebidas!
7cba661d-a99b-403a-b89d-829237803519|Você também sente cheiro de sangue?
7c79f545-8a3c-4181-9e2d-a689a753f89cDescription|Deixe as festas mais alegres pendurando o visco especial da vovó.
7c79f545-8a3c-4181-9e2d-a689a753f89c|Os heróis do Natal
6ef8a5f7-29d6-4277-9f08-9f0ac1e65925Description|Seja interrompido 3 vezes com Liz Katz e depois deixe que ela coloque as mãos em você.
6ef8a5f7-29d6-4277-9f08-9f0ac1e65925|Máscara da virilidade
6e711154-3677-4cc1-9c1b-aae9437241daDescription|Anime a noite convencendo 3 ou mais festeiros a curtirem o resto da festa mais ou menos sem roupa.
6e711154-3677-4cc1-9c1b-aae9437241da|Agora sim é uma festa!
6d072140-d54d-41c0-80d0-15660c6fcccbDescription|Coloque um item nos bolsos de Patrick durante a oportunidade "Imprudente e perigoso".
6d072140-d54d-41c0-80d0-15660c6fcccb|Travessuras inocentes
681e5a45-6301-43ea-9a78-bcd67d2f2ed9Description|Faça o oposto disso e leve os Game Grumps até seus nobres corcéis! Yee haw.
681e5a45-6301-43ea-9a78-bcd67d2f2ed9|Que viagem
61da78a9-988f-48ea-a209-2619cdd6e439Description|Desbloqueie o CompuBro, descubra mais sobre os negócios de Patrick e, talvez — só talvez — evite a criação da Skynet.
61da78a9-988f-48ea-a209-2619cdd6e439|Eu voltarei
600cfcef-d6de-4569-8bb7-5170158b5c15Description|Pegue Amala em flagrante enquanto está bêbada com uma tesoura de jardim na mão.
600cfcef-d6de-4569-8bb7-5170158b5c15|Jardinagem
5d311331-7940-4a41-8a5a-37779dc2fb2dDescription|Resolva o mistério de assassinato mais intricado de todos os tempos.
5d311331-7940-4a41-8a5a-37779dc2fb2d|Elementar, meu caro jogador
5c79a6a4-b8b7-4123-a4fa-26c1865a8a55Description|Desvie dos socos de Frank e Derek ao mesmo tempo por pelo menos 60 segundos. (sem trancar as portas!)
5c79a6a4-b8b7-4123-a4fa-26c1865a8a55|O rei das esquivas
590eda1a-88d6-4cf2-9cbb-471cf1bc2a97Description|Conheça todos os personagens da festa em uma única partida.
590eda1a-88d6-4cf2-9cbb-471cf1bc2a97|Amigão da galera
56cb8280-c917-4252-aba1-6eab7a1739e3Description|Envolva todos em uma batalha de bolas de neve.
56cb8280-c917-4252-aba1-6eab7a1739e3|A época mais maravilhosa do ano
5483913d-1359-4a96-9723-19df8f056a37Description|Convide Vickie Vixen para a festa.
5483913d-1359-4a96-9723-19df8f056a37|Convidada surpresa: Vickie
545fd924-3246-49df-9a2e-e144b781099aDescription|Complete a história principal de Vickie e aproveite um final "quente".
545fd924-3246-49df-9a2e-e144b781099a|Vickie
529f3a0c-354e-45e5-a687-8b4cdbd6a1f5Description|Você pode oferecer mais do que uma velha camiseta sem graça à Brittney? Leve seu relacionamento para o próximo nível e descubra!
529f3a0c-354e-45e5-a687-8b4cdbd6a1f5|O amor vence tudo
4f426aa0-3d36-4565-a913-b67127a1129aDescription|Dê ao Frank algo para guardar... como uma foto da Katherine completamente nua.
4f426aa0-3d36-4565-a913-b67127a1129a|Mais do que o necessário
4ee6e1b9-e2ac-405e-8932-bbcd2df5c294Description|Descubra as consequências de um superaquecimento.
4ee6e1b9-e2ac-405e-8932-bbcd2df5c294|Não perca a cabeça!
47d3de04-ddf2-46c7-9f64-8ed71d43ebb5Description|Ajude Derek a encontrar o emprego dos sonhos — ou seja, qualquer emprego. É a crise econômica, pessoal.
47d3de04-ddf2-46c7-9f64-8ed71d43ebb5|Um trabalho bem feito
438eb211-653c-485c-bcfb-e912f4d9b842Description|Sim, bem... você pode fazer isso, mas por que faria isso?
438eb211-653c-485c-bcfb-e912f4d9b842|Regra 34
40b3b39f-95c6-4c0b-a45b-10ef3eed6517Description|Dê a Steph um pouco de coragem líquida e descubra o que ela realmente pensa do chefe!
40b3b39f-95c6-4c0b-a45b-10ef3eed6517|Bêbada e Caótica: Stephanie
4059236b-fb30-41c3-ac19-63fe75625beaDescription|Escolha a pessoa certa para dar um presente de Dia dos Namorados e desbloqueie um easter egg!
4059236b-fb30-41c3-ac19-63fe75625bea|Uma demonstração de afeto
3e889b15-3a18-48d0-b05a-c391af559b99Description|Faça Ashley beber e coloque-a no caminho da destruição!
3e889b15-3a18-48d0-b05a-c391af559b99|Bêbada e Caótica: Ashley
3d3b37d9-aa30-4dfe-bc34-98c86b12b2d8Description|Eles são mais inteligentes do que parecem! Jogue o final alternativo surpresa no fim da história de Lety.
3d3b37d9-aa30-4dfe-bc34-98c86b12b2d8|Pulverizado
3c4b0a29-ad65-4279-8343-06e36560dd68Description|Mostre seu talento artístico e arruíne uma amizade para receber uma "recompensa" de Madison!
3c4b0a29-ad65-4279-8343-06e36560dd68|A musa: Madison
3bfad1ba-7f52-42cc-89cd-988e8bf1db0eDescription|Ela joga um brinquedo sexual em Frank enquanto ele dança no telhado.
3bfad1ba-7f52-42cc-89cd-988e8bf1db0e|Cena principal
33f1e186-c5a8-44fc-851c-dcac140bae06Description|Ofereça algumas bebidas a Liz Katz e torne-se o terceiro elemento da sua aventura.
33f1e186-c5a8-44fc-851c-dcac140bae06|Liberte o Kraken
31e675d1-f03b-4ee1-9b21-dc13d316c6e5Description|Retome o caminho certo não indo para a cama com Madison, a fim de redescobrir as maravilhas da amizade com Derek.
31e675d1-f03b-4ee1-9b21-dc13d316c6e5|A musa: Derek
2557d48a-8bcc-4146-b289-3cd385436487Description|Realize um dos melhores shows no jardim de todos os tempos.
2557d48a-8bcc-4146-b289-3cd385436487|Doja Cat & Dinolicious: uma dupla explosiva!
22d4a416-eb87-402c-9b65-f5166b5a7fb1Description|Complete a história de Amy e conquiste seu afeto.
22d4a416-eb87-402c-9b65-f5166b5a7fb1|Amy
192ddc8d-d941-4b69-a710-4a9906870103Description|Derrote Frank em uma luta um contra um sem ter feito nenhum treinamento.
192ddc8d-d941-4b69-a710-4a9906870103|Eles fazem mais barulho quando caem... Bonito.
15f1cfb1-de33-4179-8d9a-2488d5e6e812Description|Seja surpreendido por outro personagem no meio de um momento "íntimo"!
15f1cfb1-de33-4179-8d9a-2488d5e6e812|Pegos no flagra
1438b472-d65e-4b58-b1aa-ee72f3dbe50eDescription|Dê um pouco de inspiração, algumas dicas de boa forma e um lanche altamente nutritivo para Leah aumentar seu nível de poder.
1438b472-d65e-4b58-b1aa-ee72f3dbe50e|Olhe para mim, Sensei
12e89f29-728f-4fb6-b5a6-2ba035fa463eDescription|Ajude Derek a brilhar mais que o sol em sua apresentação e proteja sua dignidade... mais ou menos.
12e89f29-728f-4fb6-b5a6-2ba035fa463e|Brilho solar
12310fdb-636b-465e-8996-3b103c60dcf7Description|Complete a história de Ashley ajudando-a a pregar uma peça na irmã!
12310fdb-636b-465e-8996-3b103c60dcf7|Ashley
042d051e-0e3a-4a1b-b030-d9787da43a14Description|Viva um momento especial com dois homens em uma única partida.
042d051e-0e3a-4a1b-b030-d9787da43a14|Casabrova


02db3f33-d65c-4e02-b3de-72799f6595b4|MaleSoloFuckableNPCs
40b96698-2b72-4dff-8014-45e0115b17f7|AnyBooze
495a2e70-0eb7-4904-8bda-95c8a1975ddd|Wine
4a4db4e9-e35b-4eec-b54c-5acd137857b8|FemaleSoloFuckableNPCs
4b535448-26c7-4d3d-ad13-bdd1b449c6d1|Edibles
558e268d-2fe9-45f0-8464-9b46ec467ccf|Vents
5dfd349a-0de8-4916-9c86-cdc7a7dfa0fd|Beers
8c3222c6-51ad-4a0c-a216-cdb85a09320c|NonBoozeDrinkables
f0e5a520-b16c-4940-bfd6-33c49273e6ae|Liquors
